ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
206,3,2,1,6,11:00,680,44.94290161,-123.0350952,Facebook,1,1,1
207,3,2,1,7,11:00,689,41.15690613,-85.05560303,Facebook,7,7,10
208,4,2,3,5,14:00,840,40.90829468,-73.83460236,Facebook,5,4,9
209,3,2,5,7,11:00,692,38.68389893,-121.052597,Facebook,2,0,0
210,3,2,5,8,11:00,652,43.01229858,-81.23069763,Facebook,1,1,1
211,3,2,1,8,12:00,726,42.63420105,-72.6026001,Facebook,3,4,5
212,4,2,1,6,12:00,732,32.90829468,-97.42829895,Facebook,6,3,10
213,2,1,1,7,9:00,561,41.33869934,-72.69069672,Facebook,6,7,9
214,2,2,3,8,13:00,803,30.61309814,-96.32170105,Facebook,7,8,10
215,3,2,1,5,3:00,212,40.50990295,-85.62640381,Facebook,6,6,8
216,4,2,5,8,10:00,617,32.23129272,-95.29579926,Facebook,4,4,1
217,3,1,1,8,20:00,1177,33.9828949,-84.32420349,Facebook,4,6,8
218,5,2,1,5,18:00,1081,40.25939941,-81.9641037,Facebook,4,0,5
219,3,2,1,9,7:00,418,43.13110352,-88.33589935,Facebook,6,6,8
220,4,2,1,3,14:00,887,39.90559387,-75.48739624,Facebook,4,5,5
221,2,1,1,7,7:00,462,43.51899719,-96.73220062,Facebook,2,0,2
222,4,2,1,5,6:00,389,38.34150696,-82.51799774,Facebook,2,3,4
223,5,1,1,7,18:00,1076,32.85740662,-96.87059784,Facebook,5,7,6
224,4,1,5,10,8:00,510,39.27679443,-76.90149689,Facebook,2,1,2
225,2,1,1,8,9:00,571,32.81480408,-96.87049866,Facebook,7,7,10
226,5,1,1,5,8:00,473,37.76620483,-87.25910187,Facebook,5,4,3
227,4,1,1,9,8:00,460,44.68490601,-92.88490295,Facebook,2,3,1
228,3,2,1,9,7:00,396,37.34950256,-122.1163025,Facebook,7,7,10
229,2,1,1,5,4:00,264,36.79679871,-76.17669678,Facebook,7,5,6
230,3,1,1,8,10:00,607,42.65409851,-71.92199707,Facebook,5,3,2
231,3,1,3,8,5:00,289,41.6934967,-87.61450195,Facebook,3,9,5
232,3,2,1,6,10:00,574,37.68119812,-122.1344986,Facebook,4,0,0
233,2,2,1,8,9:00,547,40.31489563,-86.89080048,Facebook,4,0,5
